,McaM,McoM,Pvalue,OR,CI.upper,CI.lower,Logistic.P,Sens,Spec,AUC
HOXD4_177016451,0.290637891,0.555886891,3.94625E-15,2.748385943,3.584615431,2.017365492,2.72511E-11,0.759259259,0.805555556,0.812199931
HOXD4_177016460,0.276440838,0.572303428,1.52426E-17,2.984147899,3.861835504,2.225494167,6.35038E-12,0.796296296,0.842592593,0.839291838
HOXD4_177016463,0.316723154,0.667400714,1.80523E-20,3.281426813,4.141180377,2.535822299,4.99353E-14,0.851851852,0.842592593,0.870970508
HOXD4_177016472,0.304417085,0.680222627,6.29777E-21,3.121187936,3.940549007,2.413426758,4.99353E-14,0.824074074,0.888888889,0.875857339
HOXD4_177016475,0.276534796,0.621935225,2.05988E-18,2.77946383,3.556961011,2.107347348,8.94771E-13,0.768518519,0.87962963,0.848551097
HOXD4_177016478,0.297926615,0.646367268,2.36225E-20,3.09099152,3.935992664,2.362673439,3.31146E-13,0.787037037,0.87962963,0.869684499
HOXD4_177016481,0.251833741,0.585127922,1.8797E-17,2.669500878,3.439463771,2.003039283,2.89515E-12,0.740740741,0.87037037,0.838305898
HOXD4_177016483,0.291430347,0.650222223,1.44777E-18,2.750691487,3.490837015,2.105239108,1.97102E-13,0.768518519,0.898148148,0.850222908
HOXD4_177016490,0.311460002,0.658072233,1.21191E-20,3.248443739,4.120640513,2.496681115,1.3821E-13,0.796296296,0.888888889,0.872770919
IFFO1_6665370,0.104527528,0.348633513,5.272E-13,2.444179389,3.275210442,1.724833331,1.14418E-09,0.777777778,0.805555556,0.7864369
IFFO1_6665387,0.08895562,0.31528428,3.70756E-13,2.490498527,3.37254902,1.731199853,4.22786E-09,0.777777778,0.805555556,0.788408779
IFFO1_6665399,0.10224836,0.344421164,8.42086E-14,2.426340908,3.245414605,1.713996326,9.71986E-10,0.787037037,0.796296296,0.796296296
IFFO1_6665424,0.125596576,0.403292782,1.13725E-12,2.410745559,3.152124778,1.756611383,4.56823E-11,0.740740741,0.842592593,0.78223594
IFFO1_6665439,0.137154445,0.417466618,2.52865E-12,2.361872876,3.083156586,1.72316784,3.79245E-11,0.759259259,0.814814815,0.777777778
IFFO1_6665447,0.190502943,0.44653473,7.72992E-12,2.231346825,2.922312566,1.609364621,8.357E-11,0.759259259,0.787037037,0.771433471
LHX1_35299435,0.171568495,0.441883857,1.04723E-19,3.81233516,5.057462068,2.773781383,1.56003E-10,0.814814815,0.916666667,0.862654321
LHX1_35299445,0.10803042,0.343944326,9.60267E-22,3.750694505,5.133669354,2.616137619,7.86816E-09,0.842592593,0.888888889,0.884773663
LHX1_35299451,0.110321317,0.31940511,5.78037E-17,3.477169727,4.86239766,2.347591183,8.48736E-08,0.759259259,0.87962963,0.832904664
LHX1_35299465,0.080345313,0.301230095,5.84815E-21,3.94143532,5.48247164,2.701945366,3.75367E-08,0.805555556,0.916666667,0.876286008
LHX1_35299479,0.11845975,0.372052254,1.36697E-19,3.328381824,4.570631803,2.31755818,1.04988E-08,0.824074074,0.898148148,0.861368313
LHX1_35299482,0.130336728,0.416673813,5.1669E-20,3.382580282,4.505622968,2.453032435,2.32015E-10,0.842592593,0.888888889,0.865997942
LHX1_35299512,0.106541956,0.361365013,1.43001E-21,3.666363077,4.91192943,2.629458731,5.93439E-10,0.87962963,0.916666667,0.882887517
LHX1_35299515,0.15162473,0.428463205,4.13568E-20,3.382803611,4.493732262,2.450689892,2.08417E-10,0.87037037,0.898148148,0.867026749
LHX1_35299527,0.260362292,0.577772769,4.0572E-22,3.799579091,4.878246435,2.887549266,1.10899E-12,0.861111111,0.925925926,0.888888889
LHX1_35299547,0.270740865,0.583042738,2.45912E-21,3.837923232,4.918492344,2.918983244,8.84708E-13,0.861111111,0.925925926,0.880315501
LHX1_35299556,0.228933576,0.526752839,1.82116E-19,3.425327777,4.448095134,2.556054887,8.13304E-12,0.833333333,0.916666667,0.859996571
LHX1_35299560,0.189834536,0.510113953,3.67597E-23,3.748101073,4.848030539,2.820056478,3.4634E-12,0.916666667,0.888888889,0.900120027
LHX1_35299563,0.157473858,0.442619149,7.95542E-21,3.366418683,4.475029685,2.443894952,1.94036E-10,0.842592593,0.907407407,0.874828532
LHX1_35299568,0.305824925,0.593270338,1.70015E-19,3.506986689,4.553116592,2.62220638,6.98035E-12,0.833333333,0.907407407,0.860339506
LHX1_35299578,0.486161468,0.69076073,4.78148E-15,3.338953024,4.349506987,2.447029202,2.65106E-11,0.740740741,0.944444444,0.811213992
LHX1_35299585,0.257319952,0.617837884,2.67528E-22,3.62321461,4.633091445,2.775448665,4.42825E-13,0.851851852,0.916666667,0.890775034
LHX1_35299587,0.190279381,0.573904583,2.70521E-22,3.458571666,4.45446492,2.62968386,1.44541E-12,0.907407407,0.898148148,0.8906893
LHX1_35299590,0.283495365,0.625883393,5.9559E-22,3.589345559,4.604455553,2.735107278,8.59514E-13,0.842592593,0.935185185,0.88691701
LHX1_35299596,0.175443859,0.544065223,1.809E-22,3.523130557,4.565552826,2.652738541,4.05001E-12,0.916666667,0.898148148,0.89266118
LHX1_35299600,0.171816515,0.544915696,2.15074E-22,3.421124543,4.417761298,2.587212002,2.39311E-12,0.907407407,0.898148148,0.891803841
LHX1_35299611,0.227923574,0.580576372,6.07599E-21,3.315363204,4.282545519,2.505124344,2.39311E-12,0.833333333,0.925925926,0.876028807
LHX8_75601999,0.078689737,0.186366429,5.66412E-16,6.210922395,9.206075627,3.88791026,5.36594E-06,0.657407407,0.898148148,0.821844993
LHX8_75602002,0.045684982,0.13827904,1.18101E-12,6.246169486,9.447779271,3.824741783,1.40963E-05,0.685185185,0.888888889,0.782021605
LHX8_75602010,0.058214718,0.193084386,9.00793E-13,5.214619089,7.47918302,3.443393296,4.63127E-07,0.685185185,0.898148148,0.783521948
LHX8_75602018,0.080339375,0.266884259,3.60844E-16,4.27090569,5.91012846,2.963571821,1.64432E-08,0.787037037,0.861111111,0.824074074
LHX8_75602021,0.049103632,0.20206346,5.59069E-16,4.81630195,6.993860072,3.161691062,8.57885E-07,0.759259259,0.888888889,0.821930727
LHX8_75602027,0.071935589,0.261478952,3.32051E-18,5.086675283,6.937881092,3.577719542,4.45774E-09,0.805555556,0.87037037,0.846364883
LHX8_75602035,0.098332049,0.307186187,1.31205E-17,5.127861964,6.856553556,3.698572782,4.06751E-10,0.759259259,0.907407407,0.840020576
LHX8_75602038,0.188122305,0.422952478,1.79896E-19,4.331450382,5.690812672,3.18504897,4.34068E-11,0.824074074,0.925925926,0.860082305
LHX8_75602046,0.102610375,0.316071678,2.43712E-20,4.964354735,6.63996085,3.594992655,3.26536E-10,0.87037037,0.861111111,0.869513032
LHX8_75602053,0.113437692,0.336507693,2.2363E-19,4.790284263,6.411543591,3.46136289,3.92113E-10,0.824074074,0.907407407,0.858924897
LHX8_75602060,0.123994631,0.321435148,1.51837E-19,4.539584517,6.115246074,3.231365552,1.16066E-09,0.787037037,0.916666667,0.860853909
LHX8_75602062,0.106311291,0.29812127,1.90466E-19,4.615482159,6.232814125,3.262686479,1.87515E-09,0.851851852,0.87037037,0.859739369
LHX8_75602067,0.139428388,0.347956816,4.69438E-18,4.695453004,6.232035112,3.396236086,2.13387E-10,0.814814815,0.916666667,0.84473594
LHX8_75602078,0.139488002,0.339195595,3.02856E-17,4.040925126,5.424701203,2.870613696,1.02913E-09,0.75,0.916666667,0.836076818
LHX8_75602082,0.13332681,0.329165957,2.67704E-17,4.103042082,5.562613283,2.886034284,2.96112E-09,0.787037037,0.907407407,0.836676955
LHX8_75602089,0.215350073,0.373222078,5.51177E-12,3.624925677,4.941112596,2.499112215,8.90933E-09,0.675925926,0.898148148,0.773362483
LHX8_75602093,0.164566792,0.358007684,5.29477E-14,3.813812331,5.138601929,2.695381144,1.61048E-09,0.731481481,0.916666667,0.798782579
LHX8_75602099,0.163805837,0.371160203,7.56118E-17,3.964890163,5.291043755,2.839671841,4.71389E-10,0.787037037,0.907407407,0.831618656
LHX8_75602106,0.199074074,0.417769421,2.80551E-18,4.08316308,5.391670521,2.964880731,1.18034E-10,0.833333333,0.888888889,0.847136488
LHX8_75602118,0.185709833,0.407287324,5.30824E-17,3.856168506,5.125846567,2.781559862,2.57028E-10,0.842592593,0.861111111,0.833333333
LHX8_75602120,0.161889667,0.37226834,4.04205E-15,3.655979504,4.918350496,2.594358365,1.18436E-09,0.777777778,0.907407407,0.812071331
LHX8_75602128,0.145707051,0.317370317,4.33697E-12,3.707058862,5.066503148,2.562802611,9.54276E-09,0.731481481,0.888888889,0.774734225
LHX8_75602132,0.120814122,0.331448804,2.08114E-16,3.772300604,5.114388454,2.657436164,2.69176E-09,0.759259259,0.898148148,0.826731824
LHX8_75602134,0.120164602,0.342355976,1.83504E-15,3.668429329,4.98091131,2.587816207,2.84015E-09,0.722222222,0.935185185,0.816015089
LHX8_75602137,0.132720027,0.323835733,1.14514E-13,4.231023668,5.776786577,2.963483923,5.52966E-09,0.768518519,0.87962963,0.794667353
LHX8_75602141,0.118206936,0.319921861,5.12753E-17,4.802107992,6.402092387,3.472402712,2.85415E-10,0.777777778,0.916666667,0.833504801
LHX8_75602151,0.124040361,0.317169613,9.11373E-14,3.947397088,5.389534581,2.757886116,5.89671E-09,0.703703704,0.925925926,0.795867627
LHX8_75602154,0.101298099,0.315395959,1.8021E-18,4.355953166,5.873180228,3.103200718,1.25593E-09,0.842592593,0.861111111,0.849194102
LHX8_75602159,0.110047981,0.314059513,3.48088E-17,4.060274932,5.512635904,2.860170988,3.11043E-09,0.787037037,0.87962963,0.835390947
LHX8_75602167,0.10074383,0.330443482,3.30316E-16,3.72902045,5.046427389,2.649886588,1.66985E-09,0.787037037,0.861111111,0.824502743
LHX8_75602169,0.132941143,0.367709435,6.07309E-16,3.661502113,4.874530264,2.644181241,2.64878E-10,0.787037037,0.87962963,0.821502058
LHX8_75602177,0.162648365,0.422707137,6.12905E-19,4.14446508,5.423422602,3.068697917,2.36563E-11,0.787037037,0.925925926,0.854252401
LINC00461_87974436,0.178215513,0.334030533,2.71947E-08,2.369538425,3.411482907,1.496573454,1.41059E-06,0.62962963,0.907407407,0.720550412
LINC00461_87974444,0.095189244,0.249910981,7.10333E-09,2.605238086,3.760735196,1.654496219,1.37305E-06,0.657407407,0.87962963,0.729595336
LINC00461_87974446,0.112488164,0.293652763,1.46147E-13,2.718624699,3.836183102,1.796819417,2.10318E-07,0.722222222,0.861111111,0.793381344
LINC00461_87974464,0.131737715,0.324931165,6.43938E-15,3.387219617,4.65308592,2.336715005,1.36544E-08,0.787037037,0.861111111,0.809670782
LINC00461_87974504,0.146286214,0.316676477,6.03399E-15,3.185358251,4.516172687,2.098065924,3.0319E-07,0.759259259,0.842592593,0.810013717
LINC00461_87974518,0.163987557,0.374846675,2.39718E-17,3.413926665,4.623669924,2.396138513,3.1146E-09,0.796296296,0.842592593,0.837191358
LINC00461_87974545,0.14378362,0.337119757,1.77365E-13,2.958824846,4.111734041,2.000588637,5.38687E-08,0.75,0.851851852,0.792352538
LINC00461_87974547,0.115816477,0.307230696,8.36558E-13,2.678366338,3.749578957,1.787041145,1.13494E-07,0.694444444,0.87962963,0.783950617
LINC00461_87974549,0.142682164,0.367747477,1.58153E-18,3.393942285,4.593499097,2.38685244,2.85E-09,0.824074074,0.833333333,0.849794239
LINE.1_32,0.654449678,0.610720697,2.2175E-07,-7.84013797,-4.52939301,-11.88535077,3.412E-05,0.490740741,0.87037037,0.705589849
LINE.1_58,0.517153445,0.488806286,0.055635234,-4.787512501,-2.16203681,-7.96029072,0.001245014,0.37037037,0.898148148,0.576045953
LINE.1_78,0.541549429,0.510481495,0.073723296,-4.911543776,-2.254476596,-8.223881065,0.001310432,0.324074074,0.935185185,0.570987654
LINE.1_82,0.521648893,0.49326431,0.496761668,-2.469431947,-0.761414624,-4.378119823,0.007551952,0.435185185,0.731481481,0.472993827
LINE.1_96,0.610892087,0.558501407,0.009435573,-3.487926524,-1.845052858,-5.395858819,0.000124579,0.425925926,0.944444444,0.60313786
LINE.1_111,0.629945522,0.580240758,0.010040974,-3.827535818,-2.043640206,-5.905019368,0.000108933,0.37962963,0.953703704,0.602280521
LINE.1_120,0.701056198,0.65692353,0.001791737,-4.802578334,-2.508123471,-7.58853473,0.000230407,0.388888889,0.925925926,0.623971193
LINE.1_132,0.527015755,0.493363398,2.22125E-05,-8.28738918,-4.523429779,-12.84572799,0.000112724,0.509259259,0.833333333,0.66829561
LINE.1_144,0.624358296,0.584858954,0.057258052,-3.727137422,-1.742668684,-6.113188197,0.000877094,0.37962963,0.916666667,0.57553155
LINE.1_147,0.699011302,0.646771969,5.90291E-06,-6.566069673,-3.795555911,-9.933188787,3.27093E-05,0.425925926,0.953703704,0.679783951
LINE.1_154,0.589666054,0.522329436,8.33499E-08,-6.500351483,-4.205115367,-9.197494464,4.32696E-07,0.527777778,0.935185185,0.712705761
LINE.1_190,0.575024745,0.534860213,0.088869258,-2.776123766,-1.2166793,-4.523115308,0.001026345,0.388888889,0.944444444,0.567558299
MIR129.2_43602805,0.108481706,0.351789959,1.21109E-19,4.021672723,5.401921282,2.869711136,9.53042E-10,0.814814815,0.87037037,0.86196845
MIR129.2_43602807,0.127627076,0.371854339,5.50598E-20,4.245678244,5.663831086,3.059163187,3.80773E-10,0.851851852,0.87962963,0.865655007
MIR129.2_43602815,0.108735418,0.325309468,3.55529E-18,4.03905749,5.432297723,2.865420141,1.25593E-09,0.814814815,0.87962963,0.846021948
MIR129.2_43602822,0.110590853,0.351661467,1.99998E-19,3.994838397,5.374570365,2.849594076,1.03035E-09,0.824074074,0.87962963,0.859482167
MIR129.2_43602824,0.112972289,0.380609253,1.60258E-20,3.978252026,5.252377004,2.905011048,9.09923E-11,0.851851852,0.87037037,0.871484911
MIR129.2_43602826,0.170085023,0.422022451,7.08327E-19,4.023060274,5.269769922,2.963639728,3.17886E-11,0.814814815,0.898148148,0.853566529
MIR129.2_43602845,0.115521593,0.356614816,1.06419E-19,3.867312951,5.156187713,2.785861669,3.51589E-10,0.861111111,0.888888889,0.862568587
MIR129.2_43602847,0.146317981,0.388998465,5.51763E-19,3.78768168,5.014784218,2.747846525,1.55133E-10,0.833333333,0.861111111,0.854766804
MIR129.2_43602855,0.134549458,0.393189723,1.96767E-19,3.847515676,5.072949103,2.813870394,7.63079E-11,0.814814815,0.907407407,0.859567901
MIR129.2_43602857,0.132607688,0.386308037,1.93621E-18,3.922668337,5.170469059,2.8672307,7.65675E-11,0.814814815,0.907407407,0.848851166
MIR129.2_43602879,0.105104008,0.354587615,6.07599E-21,4.17880448,5.558863548,3.029031248,2.22588E-10,0.842592593,0.898148148,0.876028807
MIR129.2_43602892,0.127834451,0.383825844,4.56201E-19,4.100000626,5.40057177,3.003086519,6.56443E-11,0.842592593,0.888888889,0.855709877
MIR129.2_43602914,0.116516983,0.37899965,3.10828E-20,3.895801599,5.131684043,2.852800594,6.52439E-11,0.888888889,0.87962963,0.868398491
MIR129.2_43602917,0.101918201,0.349923204,9.94013E-22,4.069219977,5.456896037,2.919960307,6.3371E-10,0.87962963,0.888888889,0.884602195
MIR129.2_43602920,0.082577167,0.298557637,1.44068E-19,3.518951252,4.809914997,2.445018745,8.20424E-09,0.805555556,0.888888889,0.861111111
MIR129.2_43602925,0.114523502,0.389549278,6.02353E-21,3.84423102,5.053578827,2.82842866,4.4585E-11,0.87037037,0.87962963,0.87611454
MIR129.2_43602934,0.083187787,0.31846556,5.51488E-21,3.803910108,5.207336439,2.654604579,7.93598E-09,0.842592593,0.888888889,0.876628944
MIR129.2_43602951,0.12038662,0.408555421,1.52203E-20,3.535676439,4.685590109,2.580037515,1.21428E-10,0.87962963,0.851851852,0.871742112
MIR129.2_43602953,0.095940575,0.360232589,2.81308E-21,3.514698827,4.723598329,2.514686127,8.35485E-10,0.842592593,0.87962963,0.879715364
MNX1_156798098,0.112517594,0.3138039,4.61906E-11,1.603471933,2.261013895,1.019697231,5.19566E-07,0.79,0.759259259,0.763888889
MNX1_156798101,0.116563614,0.31901876,1.15249E-11,1.645600011,2.313674282,1.053096675,3.98718E-07,0.75,0.777777778,0.773009259
MNX1_156798105,0.114008417,0.343129257,9.24561E-14,2.132155609,2.925190044,1.430855505,3.3809E-08,0.793103448,0.79,0.81683908
MNX1_156798117,0.122820174,0.302370257,3.03539E-11,1.489349825,2.144581683,0.906965853,2.78448E-06,0.774509804,0.787037037,0.766521423
MNX1_156798123,0.120479363,0.302806935,1.74662E-11,1.571408043,2.254156083,0.968701927,1.96907E-06,0.764705882,0.768518519,0.770061728
MNX1_156798128,0.131459592,0.329025529,1.36417E-11,1.618181503,2.272331686,1.031650124,4.10042E-07,0.81,0.691588785,0.77271028
MNX1_156798138,0.135028669,0.353282357,2.7353E-12,1.736170637,2.412180532,1.131379789,1.46288E-07,0.808988764,0.79047619,0.793151418
MNX1_156798142,0.141989744,0.375597928,3.18153E-12,1.773044539,2.432090139,1.182590405,3.8527E-08,0.733333333,0.8,0.791216931
MNX1_156798145,0.135238726,0.357540162,8.62285E-13,1.764797711,2.442947985,1.159154205,9.97787E-08,0.833333333,0.70754717,0.79769392
MNX1_156798154,0.124883348,0.318222082,1.44799E-11,1.518416669,2.172173965,0.9378704,1.69868E-06,0.760416667,0.801886792,0.775992531
MNX1_156798164,0.132191893,0.355743884,4.81075E-12,1.65588943,2.310156652,1.069675845,2.22954E-07,0.772727273,0.772277228,0.792247975
MNX1_156798167,0.136236095,0.320372316,6.57753E-10,1.46533771,2.120557377,0.880863662,4.10819E-06,0.688172043,0.776699029,0.757072763
MNX1_156798171,0.137786435,0.324493425,1.53105E-11,1.50191398,2.163465901,0.913708863,2.83608E-06,0.85106383,0.682692308,0.779306465
MNX1_156798176,0.137089115,0.326911648,9.12299E-11,1.463635732,2.104294562,0.891777553,2.58338E-06,0.831578947,0.701923077,0.767408907
MNX1_156798181,0.127419653,0.302643755,1.18674E-11,1.517241127,2.195308069,0.915262408,3.88345E-06,0.838383838,0.726415094,0.774919001
MNX1_156798185,0.14862253,0.333114322,2.07711E-10,1.492471874,2.168107908,0.890011267,5.33366E-06,0.793478261,0.747368421,0.770423341
MNX1_156798187,0.150159003,0.327932642,5.92937E-10,1.449942293,2.11542573,0.854747455,7.39914E-06,0.734042553,0.762886598,0.760638298
MNX1_156798190,0.149855023,0.328610429,2.37191E-10,1.649505868,2.366619302,1.009272638,2.29008E-06,0.785714286,0.701030928,0.763675573
MNX1_156798204,0.151786856,0.378993111,4.22727E-13,2.007201804,2.745508463,1.348205896,2.70004E-08,0.872340426,0.697916667,0.805961879
MNX1_156798206,0.126132119,0.33293701,1.71935E-12,1.896135534,2.631224421,1.241148712,1.25525E-07,0.858585859,0.696969697,0.79083767
MNX1_156798223,0.144797353,0.334311833,4.33894E-11,1.480943573,2.172433874,0.867536278,9.52868E-06,0.795180723,0.766666667,0.791298527
MNX1_156798225,0.156499307,0.338505111,6.57753E-10,1.42817202,2.115371597,0.815689658,1.79962E-05,0.904761905,0.632183908,0.774767378
MNX1_156798242,0.243968538,0.478707129,3.91803E-07,1.875355531,2.761436398,1.094731154,1.12946E-05,0.893939394,0.632653061,0.779529994
MNX1_156798244,0.289623111,0.524223523,2.5098E-06,1.715243825,2.54281355,0.975831644,1.91242E-05,0.848484848,0.673913043,0.764328063
MNX1_156798250,0.324462687,0.597897732,3.27679E-07,1.95388442,2.808656909,1.197905156,2.22344E-06,0.876923077,0.644444444,0.78957265
MNX1_156798253,0.311336995,0.580919967,1.61658E-06,1.768902622,2.572925624,1.050603755,5.68887E-06,0.8,0.720930233,0.775670841
MNX1_156798258,0.288808838,0.566850145,3.41607E-07,1.876347269,2.70535138,1.141722629,2.83467E-06,0.893939394,0.613636364,0.79011708
MNX1_156798265,0.315820785,0.597558173,1.08989E-06,1.842412148,2.674974488,1.10746574,4.3896E-06,0.6875,0.80952381,0.783110119
MNX1_156798276,0.381269716,0.663316465,2.03278E-06,1.931287101,2.853500302,1.125850151,1.21089E-05,0.737704918,0.794117647,0.797492768
MNX1_156798285,0.374468278,0.664995278,3.78893E-06,1.840373091,2.717956711,1.070051077,1.23182E-05,0.737704918,0.764705882,0.789537126
MNX1_156798288,0.354189645,0.64996613,3.40824E-06,1.703393608,2.51912153,0.983008904,1.42546E-05,0.741935484,0.771428571,0.787327189
MNX1_156798294,0.357677504,0.652857227,9.78358E-06,1.54633622,2.314421074,0.862495694,3.04945E-05,0.758064516,0.735294118,0.776091082
MNX1_156798300,0.367494652,0.660289391,5.72841E-06,1.65459796,2.458223032,0.943352866,1.91242E-05,0.774193548,0.742857143,0.780645161
MNX1_156798303,0.337591876,0.660305061,2.71062E-07,2.042580718,2.971917059,1.242750564,3.77083E-06,0.737704918,0.882352941,0.822082932
NR2E1_108495849,0.14861548,0.349518663,9.00793E-13,3.363044723,4.566735811,2.334915774,5.8288E-09,0.660194175,0.876190476,0.788950532
NR2E1_108495865,0.126415151,0.269356225,4.85123E-12,2.84250151,4.02620552,1.811992677,6.59513E-07,0.691588785,0.820754717,0.776009522
NR2E1_108495895,0.199180733,0.304533736,3.87307E-07,1.597985905,2.513193671,0.814386067,0.000236864,0.694444444,0.688679245,0.702349755
NR2E1_108495897,0.145881208,0.268567711,6.35601E-09,2.366164347,3.519493427,1.381581954,1.73654E-05,0.592592593,0.877358491,0.731437806
NR2E1_108495916,0.247208108,0.359171637,8.64584E-06,1.723216005,2.574810235,0.958549687,3.21233E-05,0.5,0.830188679,0.677367226
NR2E1_108495933,0.329600626,0.439785849,1.3248E-05,1.501672922,2.263229187,0.803652476,6.00585E-05,0.462962963,0.886792453,0.673654787
NR2E1_108495937,0.324801659,0.440810964,4.35203E-06,1.58767322,2.356441002,0.884063213,2.62681E-05,0.592592593,0.745283019,0.683176101
NR2E1_108495947,0.158510205,0.384701416,2.73457E-16,3.479058145,4.606901579,2.504264839,2.21799E-10,0.826923077,0.783018868,0.830052612
NR2E1_108495949,0.168666968,0.294263725,3.81955E-05,1.818399927,2.653011906,1.064091559,8.48246E-06,0.542857143,0.830188679,0.665363881
NR2E1_108495960,0.149304374,0.387296327,8.74314E-17,3.472093742,4.589461132,2.505397905,1.77506E-10,0.705882353,0.904761905,0.838095238
NR2E1_108495968,0.101005271,0.276943735,5.90643E-14,2.732342085,3.81653556,1.799895027,1.5294E-07,0.787037037,0.783018868,0.799571978
NR2E1_108495972,0.067335832,0.222431318,7.7731E-14,3.697144949,5.138171933,2.457781563,9.29105E-08,0.768518519,0.839622642,0.797955975
NR2E1_108495979,0.085047439,0.245360711,1.42773E-14,2.707921637,3.864585832,1.725545217,9.04423E-07,0.759259259,0.811320755,0.807040531
NR2E1_108495985,0.065686905,0.217508972,6.15678E-15,3.507305931,4.895408764,2.317992681,1.34772E-07,0.75,0.867924528,0.811015024
NR2E1_108496014,0.163128199,0.329804176,1.29365E-10,2.3721551,3.321501539,1.544619884,2.27857E-07,0.685185185,0.830188679,0.756114605
OTX1_63284053,0.247460399,0.640318446,2.39453E-25,4.066245835,5.123992799,3.174008798,2.53853E-14,0.907407407,0.898148148,0.925968793
OTX1_63284056,0.334075474,0.669474899,7.22526E-24,4.51015582,5.705351142,3.503985036,4.69692E-14,0.925925926,0.888888889,0.908521948
OTX1_63284064,0.232872448,0.624527764,1.80201E-25,4.122589921,5.187996937,3.222188678,2.53853E-14,0.907407407,0.888888889,0.928069273
OTX1_63284066,0.253414291,0.628031658,7.44457E-25,4.200804279,5.292679752,3.277424515,2.53853E-14,0.907407407,0.898148148,0.919753086
OTX1_63284080,0.435063901,0.68408533,1.30997E-20,4.416709527,5.610410125,3.384082217,1.97102E-13,0.787037037,0.907407407,0.872427984
OTX1_63284082,0.31431515,0.642934407,1.0423E-23,4.365907655,5.51566317,3.388762442,4.69692E-14,0.888888889,0.888888889,0.906721536
OTX1_63284092,0.305270253,0.644955139,2.329E-23,4.194882761,5.292642342,3.26011302,3.82252E-14,0.87962963,0.87962963,0.902863512
OTX1_63284099,0.47632264,0.686989104,7.20023E-19,4.434825809,5.688369302,3.344481334,1.55355E-12,0.777777778,0.907407407,0.853480796
OTX1_63284104,0.463647216,0.690106943,4.00713E-20,4.591125641,5.861759802,3.492542857,6.72466E-13,0.824074074,0.861111111,0.867198217
OTX1_63284111,0.452429412,0.690065728,2.07571E-20,4.584614058,5.846082978,3.497948868,4.42825E-13,0.805555556,0.907407407,0.870284636
OTX1_63284132,0.605168584,0.735971294,3.58583E-12,3.428513063,4.6119388,2.367143271,3.57377E-09,0.712962963,0.925925926,0.775805898
OTX1_63284137,0.315340516,0.637167802,1.2943E-22,4.168053417,5.300073533,3.211486898,1.44275E-13,0.833333333,0.907407407,0.89420439
OTX1_63284140,0.398753611,0.680517402,1.05482E-20,4.20423601,5.348733267,3.226830549,1.97102E-13,0.861111111,0.898148148,0.87345679
OTX1_63284146,0.28174595,0.632907634,1.88754E-22,3.965556004,5.032214825,3.064185219,8.95409E-14,0.87962963,0.87962963,0.892403978
OTX1_63284165,0.237001095,0.634708888,5.46822E-25,4.026009668,5.063671526,3.149606727,2.53853E-14,0.907407407,0.87962963,0.921639232
PEG3_57350972,0.688013856,0.720768701,0.008633121,1.504727983,2.777426266,0.297948145,0.017849991,0.453703704,0.787037037,0.604381001
PEG3_57350984,0.694226853,0.749904002,6.48548E-05,2.453659288,3.786199718,1.223709832,0.000184369,0.481481481,0.824074074,0.658564815
PEG3_57351003,0.689970388,0.727213398,0.004924442,1.663054209,2.943367138,0.464144459,0.008817189,0.509259259,0.685185185,0.611711248
PEG3_57351011,0.657740842,0.681948301,0.068192757,0.843271188,1.92989158,-0.19694984,0.120124072,0.333333333,0.87037037,0.57244513
PEG3_57351110,0.693324067,0.726693393,0.00611376,1.543688243,2.820021614,0.332141585,0.01551952,0.472222222,0.777777778,0.608924897
PEG3_57351141,0.708489965,0.746187785,0.002566934,1.650286366,2.919330118,0.46263564,0.008739339,0.425925926,0.796296296,0.619727366
PEG3_57351147,0.031217821,0.030201005,0.807926248,-0.303755877,2.75645561,-3.391358878,0.84582452,0.518518519,0.546296296,0.509473594
PEG3_57351149,0.698253296,0.726484046,0.021692798,1.019070614,2.14068415,-0.04373241,0.067776496,0.462962963,0.722222222,0.59122085
PITX2_111550645,0.17870728,0.428911362,5.24953E-20,3.509113677,4.685482712,2.524781259,3.97665E-10,0.842592593,0.861111111,0.865912209
PITX2_111550647,0.126951439,0.366556294,3.32594E-20,3.339877102,4.51807499,2.359833568,2.13675E-09,0.87962963,0.842592593,0.868055556
PITX2_111550664,0.226176526,0.434026649,5.78037E-17,3.483781719,4.695087405,2.459325293,1.7059E-09,0.768518519,0.87962963,0.832904664
PITX2_111550666,0.197462081,0.415135819,1.29109E-17,3.423983465,4.61913711,2.416434916,1.8692E-09,0.777777778,0.898148148,0.84010631
PITX2_111550684,0.091894974,0.290746368,8.17982E-20,3.76804889,5.181513411,2.60439997,1.37459E-08,0.824074074,0.861111111,0.863768861
PITX2_111550732,0.124317081,0.342093679,1.10359E-19,4.054832057,5.454435295,2.888276581,1.02859E-09,0.805555556,0.916666667,0.862397119
PITX2_111550742,0.132373099,0.354594952,3.32051E-18,3.519432452,4.796890413,2.462979434,5.11616E-09,0.842592593,0.842592593,0.846364883
PITX2_111550791,0.190832559,0.436558699,8.05216E-19,3.452867607,4.596531435,2.48824967,3.04006E-10,0.87037037,0.814814815,0.852966392
POU4F3_145719981,0.106786815,0.317579658,3.44891E-20,4.084293155,5.508747407,2.885397662,1.82054E-09,0.87037037,0.87037037,0.867884088
POU4F3_145719994,0.13438889,0.369651243,1.35818E-20,3.958621545,5.264029103,2.854558728,2.71398E-10,0.861111111,0.87037037,0.872256516
